Date,Open,High,Low,Close,Adj Close,Volume
1962-02-01,0.093532,0.101326,0.093220,0.093220,0.058556,15647300
1962-03-01,0.093532,0.099144,0.091350,0.093220,0.058556,7005400
1962-04-01,0.093220,0.094467,0.084802,0.085738,0.053995,9769400
1962-05-01,0.085738,0.087920,0.070772,0.079814,0.050265,20590500
1962-06-01,0.079814,0.080437,0.064849,0.066719,0.042018,14790700
1962-07-01,0.065472,0.074202,0.065472,0.068590,0.043336,10314600
1962-08-01,0.068590,0.081373,0.068278,0.077943,0.049246,11949000
1962-09-01,0.077320,0.077320,0.063913,0.063913,0.040381,5215300
1962-10-01,0.063913,0.065784,0.052378,0.059860,0.037951,12299400
1962-11-01,0.060484,0.076384,0.060484,0.071396,0.045264,15180100
1962-12-01,0.072020,0.077070,0.069214,0.072253,0.045808,11715700
1963-01-01,0.072253,0.087989,0.071290,0.080924,0.051493,18566300
1963-02-01,0.081887,0.090879,0.079639,0.086704,0.055171,16853800
1963-03-01,0.086704,0.091200,0.083493,0.087025,0.055375,9029800
1963-04-01,0.087025,0.089594,0.082851,0.086062,0.054923,10587100
1963-05-01,0.086704,0.094411,0.086704,0.089915,0.057383,15257800
1963-06-01,0.089915,0.101476,0.087989,0.096980,0.061891,22225400
1963-07-01,0.096338,0.106293,0.095053,0.101476,0.064948,26157100
1963-08-01,0.101476,0.117211,0.099228,0.114963,0.073581,51341600
1963-09-01,0.114963,0.119138,0.105972,0.107577,0.068853,25339500
1963-10-01,0.107898,0.116569,0.107898,0.110467,0.070867,32890700
1963-11-01,0.110467,0.114963,0.098586,0.109183,0.070043,22498100
1963-12-01,0.109183,0.109825,0.096659,0.101476,0.065099,15218800
1964-01-01,0.101476,0.105972,0.098586,0.100513,0.064640,15685800
1964-02-01,0.101476,0.107898,0.101476,0.103403,0.066499,13661800
1964-03-01,0.103082,0.118817,0.099549,0.112394,0.072282,30360800
1964-04-01,0.112394,0.127166,0.112394,0.114642,0.073912,50446100
1964-05-01,0.114963,0.121386,0.108220,0.108862,0.070185,20162500
1964-06-01,0.107898,0.107898,0.097622,0.100834,0.065009,35849200
1964-07-01,0.101476,0.114321,0.101476,0.105972,0.068493,17826800
1964-08-01,0.105972,0.108541,0.100513,0.107898,0.069739,11832500
1964-09-01,0.108220,0.123313,0.108220,0.119459,0.077211,38807500
1964-10-01,0.119459,0.131020,0.114963,0.123955,0.080116,26896600
1964-11-01,0.124597,0.125882,0.114963,0.115284,0.074512,8952100
1964-12-01,0.114321,0.120101,0.111431,0.116890,0.075713,12455000
1965-01-01,0.117532,0.128129,0.117532,0.124597,0.080705,13973500
1965-02-01,0.124597,0.141296,0.124597,0.141296,0.091521,34993200
1965-03-01,0.141296,0.147718,0.136158,0.138084,0.089441,28453400
1965-04-01,0.138084,0.143865,0.134873,0.141296,0.091688,13272800
1965-05-01,0.141296,0.151572,0.140653,0.145149,0.094188,14245800
1965-06-01,0.145149,0.147397,0.113036,0.122670,0.079602,19189200
1965-07-01,0.122670,0.131662,0.121386,0.131662,0.085603,13116700
1965-08-01,0.131662,0.134231,0.125882,0.125882,0.081845,18488500
1965-09-01,0.125882,0.129414,0.123313,0.128451,0.083515,17281900
1965-10-01,0.128451,0.143222,0.124597,0.135836,0.088502,32501600
1965-11-01,0.135836,0.148681,0.132304,0.132625,0.086410,34681300
1965-12-01,0.132625,0.156067,0.131341,0.152214,0.099357,44412900
1966-01-01,0.152214,0.157994,0.148360,0.154783,0.101034,32501600
1966-02-01,0.154783,0.155425,0.141296,0.141296,0.092230,24677900
1966-03-01,0.140653,0.145791,0.132304,0.136158,0.088876,37756600
1966-04-01,0.136158,0.151250,0.134873,0.146755,0.095977,33241500
1966-05-01,0.146755,0.148360,0.129093,0.131662,0.086106,22030900
1966-06-01,0.131662,0.142580,0.131662,0.136800,0.089466,13000100
1966-07-01,0.136800,0.138084,0.131020,0.134552,0.088161,9029800
1966-08-01,0.133589,0.133589,0.104687,0.111110,0.072802,15452500
1966-09-01,0.111110,0.125882,0.109183,0.115605,0.075747,9691700
1966-10-01,0.115605,0.143865,0.105329,0.138727,0.091111,21096800
1966-11-01,0.138727,0.179188,0.136158,0.166343,0.109249,85985300
1966-12-01,0.167628,0.217081,0.165701,0.203594,0.133921,146164200
1967-01-01,0.203594,0.242771,0.192676,0.226073,0.148707,81080800
1967-02-01,0.226073,0.226073,0.195245,0.213549,0.140469,56752400
1967-03-01,0.214512,0.232495,0.211943,0.226073,0.148707,34798200
1967-04-01,0.226073,0.251763,0.215797,0.251442,0.165586,51263700
1967-05-01,0.251763,0.266535,0.235707,0.241487,0.159030,43245200
1967-06-01,0.241487,0.272315,0.234422,0.255617,0.168335,49161900
1967-07-01,0.254974,0.254974,0.207126,0.208090,0.137179,53327200
1967-08-01,0.208090,0.241487,0.208090,0.237633,0.156655,42933700
1967-09-01,0.239560,0.267177,0.238918,0.256901,0.169357,47371300
1967-10-01,0.256901,0.292867,0.246625,0.283233,0.186918,39819500
1967-11-01,0.283233,0.322411,0.262039,0.317915,0.209806,30302400
1967-12-01,0.317915,0.323695,0.282591,0.283876,0.187342,22420200
1968-01-01,0.282591,0.308281,0.272315,0.291583,0.192665,23412500
1968-02-01,0.294152,0.299932,0.240202,0.240202,0.158715,18411000
1968-03-01,0.240202,0.251763,0.215155,0.215155,0.142165,40676100
1968-04-01,0.217724,0.289014,0.217724,0.282591,0.187027,43673300
1968-05-01,0.282591,0.339109,0.280022,0.336540,0.222732,38107000
1968-06-01,0.336540,0.356450,0.321126,0.323695,0.214230,19092200
1968-07-01,0.323695,0.346174,0.315988,0.323695,0.214230,16737200
