Date,Open,High,Low,Close,Adj Close,Volume
1962-01-29,7.073333,7.440000,7.073333,7.440000,1.805614,1907200
1962-02-05,7.440000,7.440000,7.306667,7.420000,1.800759,1267200
1962-02-12,7.420000,7.480000,7.260000,7.260000,1.762168,1190400
1962-02-19,7.260000,7.293334,7.136667,7.160000,1.737898,1219200
1962-02-26,7.160000,7.346667,7.093333,7.306667,1.773497,1436800
1962-03-05,7.306667,7.373333,7.253334,7.373333,1.789677,1139200
1962-03-12,7.373333,7.393333,7.333333,7.366667,1.788060,1001600
1962-03-19,7.380000,7.413333,7.266667,7.293334,1.770261,1211200
1962-03-26,7.293334,7.320000,7.070000,7.103333,1.724142,1468800
1962-04-02,7.100000,7.100000,6.760000,6.940000,1.684497,3275200
1962-04-09,6.940000,7.026667,6.800000,6.906667,1.676407,1827200
1962-04-16,6.906667,6.993333,6.826667,6.920000,1.679644,1617600
1962-04-23,6.920000,6.956666,6.400000,6.473333,1.571227,3787200
1962-04-30,6.473333,6.533333,5.733333,6.480000,1.572846,12353600
1962-05-07,6.480000,6.530000,5.920000,5.946667,1.443393,7262400
1962-05-14,5.946667,6.173333,5.843333,6.020000,1.461423,6993600
1962-05-21,6.020000,6.020000,5.173333,5.313334,1.289872,12737600
1962-05-28,5.293334,5.333333,4.733333,5.133333,1.246175,14715200
1962-06-04,5.066667,5.066667,4.706666,4.950000,1.201669,10246400
1962-06-11,4.950000,4.960000,4.000000,4.446667,1.079479,21902400
1962-06-18,4.446667,4.570000,4.140000,4.266667,1.035782,17009600
1962-06-25,4.266667,4.646667,4.206666,4.523334,1.098091,16881600
1962-07-02,4.523334,4.716667,4.513333,4.600000,1.116702,7616000
1962-07-09,4.600000,5.196667,4.546667,5.016667,1.217853,13651200
1962-07-16,5.016667,5.126667,4.826667,4.960000,1.204097,8668800
1962-07-23,4.960000,5.026667,4.783333,5.011667,1.216640,5497600
1962-07-30,5.043334,5.246666,5.016667,5.133333,1.246175,9270400
1962-08-06,5.133333,5.153333,4.940000,5.010000,1.216236,11358400
1962-08-13,5.013333,5.256667,5.013333,5.193333,1.260991,7419200
1962-08-20,5.220000,5.530000,5.220000,5.453333,1.324120,10571200
1962-08-27,5.453333,5.490000,5.160000,5.283333,1.282843,8353600
1962-09-03,5.283333,5.353333,5.080000,5.096667,1.237518,7003200
1962-09-10,5.096667,5.186666,5.033333,5.176667,1.256943,6576000
1962-09-17,5.186666,5.331666,5.006667,5.023334,1.219713,8219200
1962-09-24,4.966667,4.966667,4.646667,4.713333,1.144442,11406400
1962-10-01,4.713333,4.825000,4.536667,4.803333,1.166294,9518400
1962-10-08,4.803333,4.956666,4.693333,4.736667,1.150107,6020800
1962-10-15,4.760000,4.913333,4.640000,4.641667,1.127040,6910400
1962-10-22,4.598333,4.598333,4.293334,4.420000,1.073217,13169600
1962-10-29,4.506667,4.931667,4.506667,4.763333,1.156582,12462400
1962-11-05,4.790000,4.886667,4.736667,4.816667,1.169531,5840000
1962-11-12,4.873333,5.058333,4.873333,5.046667,1.225636,9702400
1962-11-19,5.046667,5.173333,4.960000,5.173333,1.256396,6414400
1962-11-26,5.173333,5.356667,5.153333,5.313334,1.290399,9574400
1962-12-03,5.260000,5.413333,5.203333,5.300000,1.287160,7681600
1962-12-10,5.300000,5.343333,5.140000,5.193333,1.261256,5486400
1962-12-17,5.193333,5.293334,5.086667,5.136667,1.247493,4913600
1962-12-24,5.171667,5.293334,5.171667,5.233333,1.270968,2761600
1962-12-31,5.233333,5.343333,5.123333,5.293334,1.285541,6091200
1963-01-07,5.293334,5.453333,5.240000,5.436666,1.320350,7484800
1963-01-14,5.436666,5.573333,5.426667,5.500000,1.335732,7878400
1963-01-21,5.500000,5.583333,5.446667,5.580000,1.355162,4086400
1963-01-28,5.596667,5.665000,5.573333,5.650000,1.372161,4577600
1963-02-04,5.650000,5.656667,5.566667,5.600000,1.360017,3334400
1963-02-11,5.600000,5.610000,5.510000,5.583333,1.356292,3403200
1963-02-18,5.583333,5.593333,5.413333,5.470000,1.328760,2947200
1963-02-25,5.466667,5.466667,5.296667,5.296667,1.286655,3990400
1963-03-04,5.333333,5.463333,5.333333,5.446667,1.323092,2737600
1963-03-11,5.446667,5.516667,5.430000,5.510000,1.338477,2380800
1963-03-18,5.510000,5.540000,5.446667,5.523334,1.341717,2574400
1963-03-25,5.523334,5.643333,5.513333,5.613333,1.363580,3430400
1963-04-01,5.613333,5.893333,5.566667,5.893333,1.431596,4636800
1963-04-08,5.930000,6.010000,5.826667,5.950000,1.445362,5025600
1963-04-15,5.950000,6.000000,5.860000,6.000000,1.457509,3003200
1963-04-22,6.040000,6.266667,6.040000,6.266667,1.522285,4150400
1963-04-29,6.266667,6.326667,6.160000,6.206666,1.507713,2654400
1963-05-06,6.196667,6.340000,6.100000,6.333333,1.538480,3449600
1963-05-13,6.330000,6.330000,6.216667,6.226666,1.512899,2248000
1963-05-20,6.226666,6.320000,6.160000,6.173333,1.499940,1899200
1963-05-27,6.166667,6.380000,6.106667,6.363333,1.546105,2523200
1963-06-03,6.363333,6.383333,6.236667,6.243333,1.516948,2561600
1963-06-10,6.243333,6.320000,6.160000,6.176667,1.500750,2270400
1963-06-17,6.176667,6.180000,6.003334,6.073333,1.475643,3323200
1963-06-24,6.073333,6.096667,5.760000,5.816667,1.413280,4699200
1963-07-01,5.816667,5.933333,5.680000,5.933333,1.441626,4128000
1963-07-08,5.920000,5.920000,5.753334,5.753334,1.397892,3067200
1963-07-15,5.753334,5.860000,5.706666,5.723333,1.390604,4019200
1963-07-22,5.723333,5.766667,5.670000,5.753334,1.397892,2998400
1963-07-29,5.760000,5.973333,5.733333,5.760000,1.399513,3886400
1963-08-05,5.760000,5.926667,5.753334,5.913333,1.436767,2923200
1963-08-12,5.933333,6.126667,5.933333,6.033333,1.466259,4859200
1963-08-19,6.033333,6.066667,5.953333,5.980000,1.453296,1990400
1963-08-26,5.993333,6.023334,5.860000,5.930000,1.441146,2769600
1963-09-02,5.938334,6.166667,5.938334,6.113333,1.485701,4158400
